Period,Team,Player,Type,X,Y,Time,Strength
1,ND,16,Shot,-30.5,-30.75,18:33,EVEN
1,MSU,7,Shot,33.0,29.0,18:33,EVEN
1,MSU,15,Shot,34.5,-25.0,18:33,EVEN
1,MSU,29,Shot,65.25,-32.75,18:33,EVEN
1,MSU,20,Block,58.75,-12.0,17:57,PP
1,MSU,22,Miss,64.25,-25.5,17:35,PP
1,MSU,22,Miss,69.75,-24.75,17:30,PP
1,MSU,20,Shot,81.5,-2.25,17:25,PP
1,MSU,18,Block,63.0,21.25,16:37,PP
1,ND,25,Shot,-58.5,-4.25,16:38,EVEN
1,ND,16,Shot,-31.0,-30.75,16:38,EVEN
1,ND,17,Miss,-29.75,30.25,16:29,EVEN
1,MSU,13,Shot,77.75,2.75,16:16,EVEN
1,ND,5,Block,-50.75,-17.25,14:34,EVEN
1,MSU,29,Shot,61.0,-6.0,14:21,EVEN
1,MSU,27,Shot,16.75,-27.0,12:28,EVEN
1,ND,13,Shot,-75.5,-4.75,11:51,EVEN
1,MSU,28,Shot,72.75,-6.0,10:52,EVEN
1,MSU,11,Block,40.0,-5.25,10:19,EVEN
1,ND,27,Shot,-68.0,19.75,9:52,EVEN
1,MSU,16,Shot,77.5,-8.0,9:01,EVEN
1,MSU,23,Goal,78.75,0.75,8:15,EVEN
1,ND,26,Shot,-30.75,19.0,7:45,EVEN
1,MSU,22,Shot,82.25,11.5,7:27,EVEN
1,MSU,13,Block,57.75,-8.25,6:56,EVEN
1,MSU,11,Miss,31.0,15.0,3:43,EVEN
1,MSU,21,Block,48.0,0.25,2:46,EA
1,MSU,18,Block,62.25,15.0,1:56,PP
1,ND,8,Miss,-81.75,2.0,1:26,PP
1,ND,27,Goal,-83.0,4.0,0:22,PK
1,MSU,7,Shot,38.0,-8.25,0:04,EVEN
1,MSU,9,Goal,66.0,23.0,0:01,EVEN
2,MSU,27,Shot,-35.0,-0.25,19:01,EVEN
2,MSU,29,Goal,-65.25,13.0,18:46,EVEN
