Period,Team,Player,Type,X,Y,Time,Strength
1,ND,16,Shot,-30.50,-30.75,18:33,EVEN
1,MSU,7,Shot,33.00,29.00,18:33,EVEN
1,MSU,15,Shot,34.50,-25.00,18:33,EVEN
1,MSU,29,Shot,65.25,-32.75,18:33,EVEN
1,MSU,20,Block,58.75,-12.00,17:57,PP
1,MSU,22,Miss,64.25,-25.50,17:35,PP
1,MSU,22,Miss,69.75,-24.75,17:30,PP
1,MSU,20,Shot,81.50,-2.25,17:25,PP
1,MSU,18,Block,63.00,21.25,16:37,PP
1,ND,25,Shot,-58.50,-4.25,16:38,EVEN
1,ND,16,Shot,-31.00,-30.75,16:38,EVEN
1,ND,17,Miss,-29.75,30.25,16:29,EVEN
1,MSU,13,Shot,77.75,2.75,16:16,EVEN
1,ND,5,Block,-50.75,-17.25,14:34,EVEN
1,MSU,29,Shot,61.00,-6.00,14:21,EVEN
1,MSU,27,Shot,16.75,-27.00,12:28,EVEN
1,ND,13,Shot,-75.50,-4.75,11:51,EVEN
1,MSU,28,Shot,72.75,-6.00,10:52,EVEN
1,MSU,11,Block,40.00,-5.25,10:19,EVEN
1,ND,27,Shot,-68.00,19.75,9:52,EVEN
1,MSU,16,Shot,77.50,-8.00,9:01,EVEN
1,MSU,23,Goal,78.75,0.75,8:15,EVEN
1,ND,26,Shot,-30.75,19.00,7:45,EVEN
1,MSU,22,Shot,82.25,11.50,7:27,EVEN
1,MSU,13,Block,57.75,-8.25,6:56,EVEN
1,MSU,11,Miss,31.00,15.00,3:43,EVEN
1,MSU,21,Block,48.00,0.25,2:46,EA
1,MSU,18,Block,62.25,15.00,1:56,PP
1,ND,8,Miss,-81.75,2.00,1:26,PP
1,ND,27,Goal,-83.00,4.00,0:22,PK
1,MSU,7,Shot,38.00,-8.25,0:04,EVEN
1,MSU,9,Goal,66.00,23.00,0:01,EVEN
