Period,Team,Player,Type,X,Y,TIme,Strength
1,OSU,26,Shot,-21.56,14.61,19:11,EVEN
1,MSU,8,Miss,33.56,-26.94,17:39,EVEN
1,OSU,5,Shot,34.44,-36.28,16:39,EVEN
1,MSU,13,Block,49.11,33.5,16:12,EVEN
1,OSU,44,Miss,-37.33,14.17,14:57,EVEN
1,MSU,10,Block,75.56,6.17,14:14,EVEN
1,MSU,23,Shot,78.44,-19.17,14:03,EVEN
1,OSU,93,Shot,-36.22,-23.17,13:50,EVEN
1,OSU,91,Shot,-84.67,-7.61,13:48,EVEN
1,OSU,93,Shot,-35.11,-30.28,13:45,EVEN
1,MSU,29,Block,72.89,17.72,13:00,EVEN
1,MSU,22,Block,69.11,-21.83,12:51,EVEN
1,MSU,15,Shot,65.11,-12.06,12:46,EVEN
1,OSU,44,Shot,-57.78,-20.06,12:02,EVEN
1,OSU,13,Shot,-80.44,10.17,11:58,EVEN
1,OSU,25,Miss,-71.56,12.83,11:41,EVEN
1,OSU,63,Shot,-65.78,4.83,11:25,EVEN
1,MSU,23,Miss,59.33,-5.83,10:50,EVEN
1,MSU,10,Shot,81.33,-4.72,10:54,EVEN
1,MSU,2,Block,36.89,-23.61,10:29,EVEN
1,MSU,26,Shot,72.0,-16.28,9:39,EVEN
1,MSU,29,Miss,51.11,14.17,9:33,EVEN
1,MSU,27,Block,54.44,-9.83,9:24,EVEN
1,OSU,21,Shot,-86.22,-4.94,9:10,EVEN
1,OSU,20,Shot,-41.78,-28.72,8:55,PK
1,OSU,23,Shot,-83.11,4.83,8:51,PK
1,MSU,10,Shot,66.22,15.5,8:32,PK
1,OSU,13,Shot,-68.67,-14.72,8:25,PK
1,OSU,93,Shot,-70.44,-25.39,7:28,PK
1,OSU,21,Block,-72.22,4.61,7:05,EVEN
1,MSU,9,Miss,32.44,-20.5,6:01,EVEN
1,MSU,10,Block,74.22,-11.17,5:48,EVEN
1,MSU,19,Block,52.89,-22.28,5:42,EVEN
1,MSU,10,Shot,88.44,-5.39,5:21,EVEN
1,MSU,23,Shot,82.44,-2.72,5:15,EVEN
1,MSU,11,Block,65.33,4.61,5:07,EVEN
1,MSU,28,Shot,80.89,-8.5,4:55,EVEN
1,MSU,20,Miss,75.78,-4.06,4:54,EVEN
1,OSU,16,Miss,-59.33,16.61,3:09,EVEN
1,MSU,29,Shot,69.78,-14.06,2:44,EVEN
1,OSU,91,Miss,-67.33,11.72,2:23,EVEN
1,MSU,23,Miss,73.56,-18.94,1:26,EVEN
1,MSU,10,Shot,69.56,-1.83,1:16,EVEN
1,MSU,19,Miss,82.0,-5.39,1:00,EVEN
1,MSU,18,Shot,80.22,-1.17,0:55,EVEN
1,MSU,21,Shot,56.89,-12.94,0:06,EVEN
2,MSU,2,Miss,-69.56,-35.39,19:22,EVEN
2,OSU,7,Miss,34.89,-28.94,18:09,EVEN
2,MSU,10,Miss,-59.78,-16.06,16:55,PK
2,OSU,16,Shot,63.33,13.72,16:34,PK
2,OSU,93,Goal,63.11,4.83,16:15,PK
2,MSU,28,Miss,-73.11,-16.5,15:37,PP
2,MSU,9,Miss,-67.33,19.28,15:29,PP
2,MSU,28,Block,-68.89,-20.28,15:14,PP
2,MSU,26,Shot,-86.44,-13.39,14:16,PP
2,MSU,18,Shot,-67.33,-13.39,14:10,PP
2,MSU,29,Shot,-71.33,-12.72,14:10,EVEN
2,OSU,9,Shot,77.78,19.5,13:05,EVEN
2,OSU,8,Shot,35.78,-26.5,12:59,EVEN
2,OSU,16,Shot,55.33,-9.61,12:44,EVEN
2,OSU,7,Miss,37.78,-34.5,12:33,EVEN
2,OSU,91,Shot,63.56,1.06,10:43,EVEN
2,MSU,22,Miss,-56.44,10.39,10:18,EVEN
2,MSU,7,Shot,-52.67,-30.94,10:13,EVEN
2,MSU,9,Shot,-36.44,32.17,10:04,EVEN
2,MSU,22,Shot,-74.44,5.94,9:57,EVEN
2,MSU,9,Miss,-36.67,-1.61,9:40,EVEN
2,MSU,16,Block,-59.56,-22.06,8:33,EVEN
2,MSU,28,Shot,-79.78,-19.83,8:32,EVEN
2,OSU,91,Shot,20.67,29.28,6:47,EVEN
2,MSU,15,Block,-35.56,-8.94,6:11,EVEN
2,MSU,27,Shot,-56.44,20.39,5:53,EVEN
2,MSU,29,Goal,-82.22,-6.72,5:51,EVEN
2,MSU,28,Shot,-63.11,-18.5,5:15,EVEN
2,OSU,63,Shot,69.78,-22.72,5:08,EVEN
2,MSU,23,Goal,-79.11,-6.06,4:44,EVEN
2,MSU,27,Block,-39.33,3.06,4:42,EVEN
2,MSU,21,Block,-69.56,20.61,4:39,EVEN
2,MSU,29,Shot,-63.78,-0.94,4:33,EVEN
2,MSU,15,Shot,-75.11,-14.94,2:17,EVEN
2,OSU,8,Miss,36.0,-14.06,1:31,EVEN
2,MSU,28,Shot,-64.67,-23.39,0:32,EVEN
2,MSU,8,Miss,-28.89,36.39,0:13,EVEN
2,MSU,10,Miss,-75.56,-10.28,0:00,EVEN
2,OSU,21,Shot,28.22,3.72,0:01,EVEN
3,MSU,13,Miss,51.11,30.17,19:55,EVEN
3,MSU,2,Miss,30.0,30.61,19:26,EVEN
3,MSU,22,Block,46.67,-19.39,18:54,EVEN
3,MSU,26,Block,67.56,-9.83,16:13,EVEN
3,MSU,23,Block,54.0,19.72,16:08,EVEN
3,MSU,8,Block,42.0,-26.72,15:51,EVEN
3,OSU,8,Shot,-33.33,19.72,15:26,EVEN
