Period,Team,Player,Type,X,Y,TIme,Strength
2,MSU,2,Miss,-69.56,-35.39,19:22,EVEN
2,OSU,7,Miss,34.89,-28.94,18:09,EVEN
2,MSU,10,Miss,-59.78,-16.06,16:55,PK
2,OSU,16,Shot,63.33,13.72,16:34,PK
2,OSU,93,Goal,63.11,4.83,16:15,PK
2,MSU,28,Miss,-73.11,-16.50,15:37,PP
2,MSU,9,Miss,-67.33,19.28,15:29,PP
2,MSU,28,Block,-68.89,-20.28,15:14,PP
2,MSU,26,Shot,-86.44,-13.39,14:16,PP
2,MSU,18,Shot,-67.33,-13.39,14:10,PP
2,MSU,29,Shot,-71.33,-12.72,14:10,EVEN
2,OSU,9,Shot,77.78,19.50,13:05,EVEN
2,OSU,8,Shot,35.78,-26.50,12:59,EVEN
2,OSU,16,Shot,55.33,-9.61,12:44,EVEN
2,OSU,7,Miss,37.78,-34.50,12:33,EVEN
2,OSU,91,Shot,63.56,1.06,10:43,EVEN
2,MSU,22,Miss,-56.44,10.39,10:18,EVEN
2,MSU,7,Shot,-52.67,-30.94,10:13,EVEN
2,MSU,9,Shot,-36.44,32.17,10:04,EVEN
2,MSU,22,Shot,-74.44,5.94,9:57,EVEN
2,MSU,9,Miss,-36.67,-1.61,9:40,EVEN
2,MSU,16,Block,-59.56,-22.06,8:33,EVEN
2,MSU,28,Shot,-79.78,-19.83,8:32,EVEN
2,OSU,91,Shot,20.67,29.28,6:47,EVEN
2,MSU,15,Block,-35.56,-8.94,6:11,EVEN
2,MSU,27,Shot,-56.44,20.39,5:53,EVEN
2,MSU,29,Goal,-82.22,-6.72,5:51,EVEN
2,MSU,28,Shot,-63.11,-18.50,5:15,EVEN
2,OSU,63,Shot,69.78,-22.72,5:08,EVEN
2,MSU,23,Goal,-79.11,-6.06,4:44,EVEN
2,MSU,27,Block,-39.33,3.06,4:42,EVEN
2,MSU,21,Block,-69.56,20.61,4:39,EVEN
2,MSU,29,Shot,-63.78,-0.94,4:33,EVEN
2,MSU,15,Shot,-75.11,-14.94,2:17,EVEN
2,OSU,8,Miss,36.00,-14.06,1:31,EVEN
2,MSU,28,Shot,-64.67,-23.39,0:32,EVEN
2,MSU,8,Miss,-28.89,36.39,0:13,EVEN
2,MSU,10,Miss,-75.56,-10.28,0:00,EVEN
2,OSU,21,Shot,28.22,3.72,0:01,EVEN
